Date,Country,Import Volumn
2019 Aug,Cambodia(Thousand Dollars),818065
2019 Aug,Brunei Darussalam(Thousand Dollars),61257
2019 Aug,Brazil(Thousand Dollars),177969
2019 Aug,Bermuda(Thousand Dollars),1
2019 Aug,Belgium(Thousand Dollars),110542
2019 Aug,Bangladesh(Thousand Dollars),23147
2019 Aug,Bahrain(Thousand Dollars),39258
2019 Aug,Bahamas(Thousand Dollars),25
2019 Aug,Austria(Thousand Dollars),83071
2019 Aug,Australia(Thousand Dollars),912412
2019 Aug,Asia(Million Dollars),26671.9
2019 Aug,Argentina(Thousand Dollars),7369
2019 Aug,Anguilla(Thousand Dollars),0
2019 Aug,America(Million Dollars),6128.8
2019 Aug,Africa(Million Dollars),648.6
2019 Aug,Afghanistan(Thousand Dollars),2
2019 Dec,Yemen(Thousand Dollars),919
2019 Dec,Yemen Democratic(Thousand Dollars),0
2019 Dec,Wallis & Fatuna Islands(Thousand Dollars),220
2019 Dec,"Vietnam, Socialist Republic Of(Thousand Dollars)",354672
2019 Dec,Venezuela(Thousand Dollars),26
2019 Dec,Uruguay(Thousand Dollars),2282
2019 Dec,United States(Thousand Dollars),4625198
2019 Dec,United Kingdom(Thousand Dollars),1122876
2019 Dec,United Arab Emirates(Thousand Dollars),1249328
2019 Dec,Tuvalu(Thousand Dollars),1
2019 Dec,Trinidad & Tobago(Thousand Dollars),16
2019 Dec,Total Merchandise Imports(Thousand Dollars),41580603
2019 Dec,Thailand(Thousand Dollars),831088
2019 Dec,Taiwan(Thousand Dollars),3625654
2019 Dec,Syrian Arab Republic(Thousand Dollars),0
2019 Dec,Switzerland(Thousand Dollars),608363
2019 Dec,Sweden(Thousand Dollars),121549
2019 Dec,St Vincent & The Grenadines(Thousand Dollars),0
2019 Dec,Sri Lanka(Thousand Dollars),25108
2019 Dec,Spain(Thousand Dollars),157102
2019 Dec,South Sudan(Thousand Dollars),0
2019 Dec,Solomon Islands(Thousand Dollars),63
2019 Dec,Slovenia(Thousand Dollars),6268
2019 Dec,Slovak Republic (Slovakia)(Thousand Dollars),9545
2019 Dec,Saudi Arabia(Thousand Dollars),600525
2019 Dec,Republic Of Korea(Thousand Dollars),1644943
2019 Dec,Qatar(Thousand Dollars),629916
2019 Dec,Puerto Rico(Thousand Dollars),12307
2019 Dec,Portugal(Thousand Dollars),40867
2019 Dec,Poland(Thousand Dollars),66673
2019 Dec,Philippines(Thousand Dollars),728011
2019 Dec,Peru(Thousand Dollars),3560
2019 Dec,Paraguay(Thousand Dollars),111
2019 Dec,Papua New Guinea(Thousand Dollars),14759
2019 Dec,Panama(Thousand Dollars),341
2019 Dec,Palau(Thousand Dollars),0
2019 Dec,Pakistan(Thousand Dollars),9546
2019 Dec,Other Countries In Oceania(Thousand Dollars),1343
2019 Dec,Other Countries In America(Thousand Dollars),30985
2019 Dec,Oman(Thousand Dollars),10305
2019 Dec,Oceania(Million Dollars),1369.3
2019 Dec,Norway(Thousand Dollars),85519
2019 Dec,Norfolk Island(Thousand Dollars),0
2019 Dec,Niue(Thousand Dollars),0
2019 Dec,New Zealand(Thousand Dollars),104780
2019 Dec,New Caledonia(Thousand Dollars),11
2019 Dec,Netherlands(Thousand Dollars),243929
2019 Dec,Netherlands Antilles(Thousand Dollars),34
2019 Dec,Nepal(Thousand Dollars),427
2019 Dec,Nauru(Thousand Dollars),0
2019 Dec,Myanmar(Thousand Dollars),18005
2019 Dec,Micronesia(Thousand Dollars),0
2019 Dec,Mexico(Thousand Dollars),538349
2019 Dec,Malta(Thousand Dollars),66861
2019 Dec,"Maldives, Republic Of(Thousand Dollars)",104
2019 Dec,Malaysia(Thousand Dollars),5391179
2019 Dec,Mainland China(Thousand Dollars),5992603
2019 Dec,Macau(Thousand Dollars),1038
2019 Dec,Luxembourg(Thousand Dollars),2205
2019 Dec,Lithuania(Thousand Dollars),8211
2019 Dec,Liechtenstein(Thousand Dollars),2165
2019 Dec,Lebanon(Thousand Dollars),78
2019 Dec,Latvia(Thousand Dollars),1056
2019 Dec,Laos People's Democratic Republic(Thousand Dollars),907
2019 Dec,Kuwait(Thousand Dollars),349539
2019 Dec,Kiribati(Thousand Dollars),0
2019 Dec,Jordan(Thousand Dollars),2350
2019 Dec,Japan(Thousand Dollars),2327212
2019 Dec,Jamaica(Thousand Dollars),92
2019 Dec,Italy(Thousand Dollars),547815
2019 Dec,Israel(Thousand Dollars),74906
2019 Dec,Ireland(Thousand Dollars),93080
2019 Dec,Iran (Islamic Republic Of)(Thousand Dollars),830
2019 Dec,Indonesia(Thousand Dollars),1560013
2019 Dec,India(Thousand Dollars),705005
2019 Dec,Hungary(Thousand Dollars),35761
2019 Dec,Hong Kong(Thousand Dollars),705193
2019 Dec,Honduras(Thousand Dollars),312
2019 Dec,Guatemala(Thousand Dollars),1085
2019 Dec,Guam(Thousand Dollars),25
2019 Dec,Grenada(Thousand Dollars),0
2019 Dec,Greece(Thousand Dollars),12161
2019 Dec,"Germany, Federal Republic Of(Thousand Dollars)",1090801
2019 Dec,"Germany, Democratic Republic Of(Thousand Dollars)",0
2019 Dec,French Southern Territories(Thousand Dollars),0
2019 Dec,French Polynesia(Thousand Dollars),109
2019 Dec,French Guiana(Thousand Dollars),0
2019 Dec,France(Thousand Dollars),1305861
2019 Dec,Finland(Thousand Dollars),41412
2019 Dec,Fiji(Thousand Dollars),438
2019 Dec,European Union(Million Dollars),4237.7
2019 Dec,Europe(Million Dollars),6314.8
2019 Dec,Estonia(Thousand Dollars),11965
2019 Dec,Ecuador(Thousand Dollars),3022
2019 Dec,Denmark(Thousand Dollars),44062
2019 Dec,Democratic People's Republic Of Korea(Thousand Dollars),0
2019 Dec,Czech Republic(Thousand Dollars),71881
2019 Dec,Cyprus(Thousand Dollars),1191
2019 Dec,Cook Islands(Thousand Dollars),303
2019 Dec,Commonwealth Of Independent States(Thousand Dollars),254456
2019 Dec,Colombia(Thousand Dollars),61220
2019 Dec,Cocos (Keeling) Islands(Thousand Dollars),1
2019 Dec,Chile(Thousand Dollars),5436
2019 Dec,Canada(Thousand Dollars),234094
2019 Dec,Cambodia(Thousand Dollars),24995
2019 Dec,Brunei Darussalam(Thousand Dollars),147838
2019 Dec,Brazil(Thousand Dollars),164221
2019 Dec,Bermuda(Thousand Dollars),5
2019 Dec,Belgium(Thousand Dollars),148564
2019 Dec,Bangladesh(Thousand Dollars),24053
2019 Dec,Bahrain(Thousand Dollars),32835
2019 Dec,Bahamas(Thousand Dollars),27
2019 Dec,Austria(Thousand Dollars),79945
2019 Dec,Australia(Thousand Dollars),1248073
2019 Dec,Asia(Million Dollars),27688.7
2019 Dec,Argentina(Thousand Dollars),3785
2019 Dec,Anguilla(Thousand Dollars),1
2019 Dec,America(Million Dollars),5686.4
2019 Dec,Africa(Million Dollars),521.4
2019 Dec,Afghanistan(Thousand Dollars),21
2019 Feb,Yemen(Thousand Dollars),27
2019 Feb,Yemen Democratic(Thousand Dollars),0
2019 Feb,Wallis & Fatuna Islands(Thousand Dollars),85
2019 Feb,"Vietnam, Socialist Republic Of(Thousand Dollars)",281470
2019 Feb,Venezuela(Thousand Dollars),208341
2019 Feb,Uruguay(Thousand Dollars),1363
2019 Feb,United States(Thousand Dollars),4506694
2019 Feb,United Kingdom(Thousand Dollars),1074245
2019 Feb,United Arab Emirates(Thousand Dollars),753852
2019 Feb,Tuvalu(Thousand Dollars),7
2019 Feb,Trinidad & Tobago(Thousand Dollars),65
2019 Feb,Total Merchandise Imports(Thousand Dollars),36074448
2019 Feb,Thailand(Thousand Dollars),760149
2019 Feb,Taiwan(Thousand Dollars),2801354
2019 Feb,Syrian Arab Republic(Thousand Dollars),1
2019 Feb,Switzerland(Thousand Dollars),676388
2019 Feb,Sweden(Thousand Dollars),118363
2019 Feb,St Vincent & The Grenadines(Thousand Dollars),0
2019 Feb,Sri Lanka(Thousand Dollars),8272
2019 Feb,Spain(Thousand Dollars),103200
2019 Feb,South Sudan(Thousand Dollars),0
2019 Feb,Solomon Islands(Thousand Dollars),0
2019 Feb,Slovenia(Thousand Dollars),6797
2019 Feb,Slovak Republic (Slovakia)(Thousand Dollars),8847
2019 Feb,Saudi Arabia(Thousand Dollars),1102323
2019 Feb,Republic Of Korea(Thousand Dollars),1615664
2019 Feb,Qatar(Thousand Dollars),710787
2019 Feb,Puerto Rico(Thousand Dollars),6136
2019 Feb,Portugal(Thousand Dollars),38947
2019 Feb,Poland(Thousand Dollars),39173
2019 Feb,Philippines(Thousand Dollars),874577
2019 Feb,Peru(Thousand Dollars),771
2019 Feb,Paraguay(Thousand Dollars),131
2019 Feb,Papua New Guinea(Thousand Dollars),961
2019 Feb,Panama(Thousand Dollars),175
2019 Feb,Palau(Thousand Dollars),3
2019 Feb,Pakistan(Thousand Dollars),9016
2019 Feb,Other Countries In Oceania(Thousand Dollars),940
2019 Feb,Other Countries In America(Thousand Dollars),15818
2019 Feb,Oman(Thousand Dollars),16055
2019 Feb,Oceania(Million Dollars),787.2
2019 Feb,Norway(Thousand Dollars),511078
2019 Feb,Norfolk Island(Thousand Dollars),0
2019 Feb,Niue(Thousand Dollars),9
2019 Feb,New Zealand(Thousand Dollars),68858
2019 Feb,New Caledonia(Thousand Dollars),43
2019 Feb,Netherlands(Thousand Dollars),301919
2019 Feb,Netherlands Antilles(Thousand Dollars),24
