Country,Variables,Import
Venezuela(Thousand Dollars),2019 Dec,238
"Vietnam, Socialist Republic Of(Thousand Dollars)",2019 Dec,1484885
Yemen Democratic(Thousand Dollars),2019 Dec,0
Yemen(Thousand Dollars),2019 Dec,1709
Afghanistan(Thousand Dollars),2020 Jan,3606
Africa(Million Dollars),2020 Jan,721.8
America(Million Dollars),2020 Jan,5557.8
Argentina(Thousand Dollars),2020 Jan,21408
Asia(Million Dollars),2020 Jan,31668
Australia(Thousand Dollars),2020 Jan,1016684
Austria(Thousand Dollars),2020 Jan,25822
Bahrain(Thousand Dollars),2020 Jan,9776
Bangladesh(Thousand Dollars),2020 Jan,355011
Belgium(Thousand Dollars),2020 Jan,618487
Brazil(Thousand Dollars),2020 Jan,140481
Brunei Darussalam(Thousand Dollars),2020 Jan,92138
Cambodia(Thousand Dollars),2020 Jan,217874
Canada(Thousand Dollars),2020 Jan,206609
Chile(Thousand Dollars),2020 Jan,7662
Colombia(Thousand Dollars),2020 Jan,7089
Cyprus(Thousand Dollars),2020 Jan,79656
Czech Republic(Thousand Dollars),2020 Jan,54274
Democratic People's Republic Of Korea(Thousand Dollars),2020 Jan,61
Denmark(Thousand Dollars),2020 Jan,18442
Ecuador(Thousand Dollars),2020 Jan,5009
Estonia(Thousand Dollars),2020 Jan,586
Europe(Million Dollars),2020 Jan,4432.5
European Union(Million Dollars),2020 Jan,3655.4
Fiji(Thousand Dollars),2020 Jan,28670
Finland(Thousand Dollars),2020 Jan,8439
France(Thousand Dollars),2020 Jan,344766
French Polynesia(Thousand Dollars),2020 Jan,1469
"Germany, Democratic Republic Of(Thousand Dollars)",2020 Jan,0
"Germany, Federal Republic Of(Thousand Dollars)",2020 Jan,664818
Greece(Thousand Dollars),2020 Jan,111978
Guam(Thousand Dollars),2020 Jan,71057
Hong Kong(Thousand Dollars),2020 Jan,4726790
Hungary(Thousand Dollars),2020 Jan,48888
India(Thousand Dollars),2020 Jan,1343660
Indonesia(Thousand Dollars),2020 Jan,3097834
Iran (Islamic Republic Of)(Thousand Dollars),2020 Jan,2391
Ireland(Thousand Dollars),2020 Jan,52272
Israel(Thousand Dollars),2020 Jan,64986
Italy(Thousand Dollars),2020 Jan,96267
Japan(Thousand Dollars),2020 Jan,2155267
Jordan(Thousand Dollars),2020 Jan,3607
Kuwait(Thousand Dollars),2020 Jan,24722
Laos People's Democratic Republic(Thousand Dollars),2020 Jan,7018
Latvia(Thousand Dollars),2020 Jan,3976
Lebanon(Thousand Dollars),2020 Jan,1618
Lithuania(Thousand Dollars),2020 Jan,1934
Luxembourg(Thousand Dollars),2020 Jan,33896
Macau(Thousand Dollars),2020 Jan,19517
Mainland China(Thousand Dollars),2020 Jan,5091217
Malaysia(Thousand Dollars),2020 Jan,4882427
"Maldives, Republic Of(Thousand Dollars)",2020 Jan,43551
Malta(Thousand Dollars),2020 Jan,209000
Mexico(Thousand Dollars),2020 Jan,133156
Myanmar(Thousand Dollars),2020 Jan,430961
Nepal(Thousand Dollars),2020 Jan,24515
Netherlands(Thousand Dollars),2020 Jan,1082003
New Caledonia(Thousand Dollars),2020 Jan,29838
New Zealand(Thousand Dollars),2020 Jan,273376
Oceania(Million Dollars),2020 Jan,2121.6
Oman(Thousand Dollars),2020 Jan,13934
Other Countries In Oceania(Thousand Dollars),2020 Jan,590793
Pakistan(Thousand Dollars),2020 Jan,175338
Papua New Guinea(Thousand Dollars),2020 Jan,105812
Paraguay(Thousand Dollars),2020 Jan,306
Peru(Thousand Dollars),2020 Jan,6536
Philippines(Thousand Dollars),2020 Jan,1048522
Poland(Thousand Dollars),2020 Jan,50945
Portugal(Thousand Dollars),2020 Jan,79493
Puerto Rico(Thousand Dollars),2020 Jan,210260
Qatar(Thousand Dollars),2020 Jan,63229
Republic Of Korea(Thousand Dollars),2020 Jan,2003359
Saudi Arabia(Thousand Dollars),2020 Jan,109237
Slovak Republic (Slovakia)(Thousand Dollars),2020 Jan,2113
Slovenia(Thousand Dollars),2020 Jan,3703
Solomon Islands(Thousand Dollars),2020 Jan,6109
Spain(Thousand Dollars),2020 Jan,33043
Sri Lanka(Thousand Dollars),2020 Jan,121200
Sweden(Thousand Dollars),2020 Jan,21083
Switzerland(Thousand Dollars),2020 Jan,253980
Syrian Arab Republic(Thousand Dollars),2020 Jan,218
Taiwan(Thousand Dollars),2020 Jan,1879918
Thailand(Thousand Dollars),2020 Jan,1689722
Total Merchandise Exports(Thousand Dollars),2020 Jan,44501656
United Arab Emirates(Thousand Dollars),2020 Jan,457369
United Kingdom(Thousand Dollars),2020 Jan,362682
United States(Thousand Dollars),2020 Jan,3929020
Uruguay(Thousand Dollars),2020 Jan,1250
Venezuela(Thousand Dollars),2020 Jan,99
"Vietnam, Socialist Republic Of(Thousand Dollars)",2020 Jan,1361099
Yemen Democratic(Thousand Dollars),2020 Jan,0
Yemen(Thousand Dollars),2020 Jan,720
Afghanistan(Thousand Dollars),2020 Feb,2199
Africa(Million Dollars),2020 Feb,841
America(Million Dollars),2020 Feb,5870.7
Argentina(Thousand Dollars),2020 Feb,14307
Asia(Million Dollars),2020 Feb,29713.9
Australia(Thousand Dollars),2020 Feb,1077157
Austria(Thousand Dollars),2020 Feb,29566
Bahrain(Thousand Dollars),2020 Feb,27903
Bangladesh(Thousand Dollars),2020 Feb,350375
Belgium(Thousand Dollars),2020 Feb,624401
Brazil(Thousand Dollars),2020 Feb,148178
Brunei Darussalam(Thousand Dollars),2020 Feb,98823
Cambodia(Thousand Dollars),2020 Feb,173729
Canada(Thousand Dollars),2020 Feb,347609
Chile(Thousand Dollars),2020 Feb,7761
Colombia(Thousand Dollars),2020 Feb,10956
Cyprus(Thousand Dollars),2020 Feb,70001
Czech Republic(Thousand Dollars),2020 Feb,38779
Democratic People's Republic Of Korea(Thousand Dollars),2020 Feb,0
Denmark(Thousand Dollars),2020 Feb,33476
Ecuador(Thousand Dollars),2020 Feb,4424
Estonia(Thousand Dollars),2020 Feb,824
Europe(Million Dollars),2020 Feb,4996.4
European Union(Million Dollars),2020 Feb,4200
Fiji(Thousand Dollars),2020 Feb,48420
Finland(Thousand Dollars),2020 Feb,8878
France(Thousand Dollars),2020 Feb,379019
French Polynesia(Thousand Dollars),2020 Feb,7214
"Germany, Democratic Republic Of(Thousand Dollars)",2020 Feb,0
"Germany, Federal Republic Of(Thousand Dollars)",2020 Feb,731916
Greece(Thousand Dollars),2020 Feb,164151
Guam(Thousand Dollars),2020 Feb,8669
Hong Kong(Thousand Dollars),2020 Feb,5116584
Hungary(Thousand Dollars),2020 Feb,43449
India(Thousand Dollars),2020 Feb,1363734
Indonesia(Thousand Dollars),2020 Feb,2707467
Iran (Islamic Republic Of)(Thousand Dollars),2020 Feb,546
Ireland(Thousand Dollars),2020 Feb,167639
Israel(Thousand Dollars),2020 Feb,108427
Italy(Thousand Dollars),2020 Feb,149231
Japan(Thousand Dollars),2020 Feb,1980315
Jordan(Thousand Dollars),2020 Feb,4285
Kuwait(Thousand Dollars),2020 Feb,12828
Laos People's Democratic Republic(Thousand Dollars),2020 Feb,4108
Latvia(Thousand Dollars),2020 Feb,4117
Lebanon(Thousand Dollars),2020 Feb,4736
Lithuania(Thousand Dollars),2020 Feb,1383
Luxembourg(Thousand Dollars),2020 Feb,29228
Macau(Thousand Dollars),2020 Feb,7233
Mainland China(Thousand Dollars),2020 Feb,3910570
Malaysia(Thousand Dollars),2020 Feb,4084098
"Maldives, Republic Of(Thousand Dollars)",2020 Feb,30099
Malta(Thousand Dollars),2020 Feb,292086
Mexico(Thousand Dollars),2020 Feb,142174
Myanmar(Thousand Dollars),2020 Feb,331483
Nepal(Thousand Dollars),2020 Feb,26784
Netherlands(Thousand Dollars),2020 Feb,1139493
New Caledonia(Thousand Dollars),2020 Feb,35384
New Zealand(Thousand Dollars),2020 Feb,229238
Oceania(Million Dollars),2020 Feb,2090.4
Oman(Thousand Dollars),2020 Feb,46235
Other Countries In Oceania(Thousand Dollars),2020 Feb,605285
Pakistan(Thousand Dollars),2020 Feb,171549
Papua New Guinea(Thousand Dollars),2020 Feb,78522
Paraguay(Thousand Dollars),2020 Feb,809
Peru(Thousand Dollars),2020 Feb,7514
Philippines(Thousand Dollars),2020 Feb,868932
Poland(Thousand Dollars),2020 Feb,41220
Portugal(Thousand Dollars),2020 Feb,173042
Puerto Rico(Thousand Dollars),2020 Feb,141569
Qatar(Thousand Dollars),2020 Feb,86612
Republic Of Korea(Thousand Dollars),2020 Feb,2064426
Saudi Arabia(Thousand Dollars),2020 Feb,115931
Slovak Republic (Slovakia)(Thousand Dollars),2020 Feb,3068
Slovenia(Thousand Dollars),2020 Feb,4599
Solomon Islands(Thousand Dollars),2020 Feb,2525
Spain(Thousand Dollars),2020 Feb,35046
Sri Lanka(Thousand Dollars),2020 Feb,135836
Sweden(Thousand Dollars),2020 Feb,24780
Switzerland(Thousand Dollars),2020 Feb,213962
Syrian Arab Republic(Thousand Dollars),2020 Feb,1046
Taiwan(Thousand Dollars),2020 Feb,1972685
Thailand(Thousand Dollars),2020 Feb,1703571
Total Merchandise Exports(Thousand Dollars),2020 Feb,43512320
United Arab Emirates(Thousand Dollars),2020 Feb,524626
United Kingdom(Thousand Dollars),2020 Feb,422200
United States(Thousand Dollars),2020 Feb,4258825
Uruguay(Thousand Dollars),2020 Feb,443
Venezuela(Thousand Dollars),2020 Feb,464
"Vietnam, Socialist Republic Of(Thousand Dollars)",2020 Feb,1528014
Yemen Democratic(Thousand Dollars),2020 Feb,0
Yemen(Thousand Dollars),2020 Feb,1554
Afghanistan(Thousand Dollars),2020 Mar,5293
Africa(Million Dollars),2020 Mar,916.5
America(Million Dollars),2020 Mar,6021.1
Argentina(Thousand Dollars),2020 Mar,9210
Asia(Million Dollars),2020 Mar,32534.9
Australia(Thousand Dollars),2020 Mar,972067
Austria(Thousand Dollars),2020 Mar,20216
Bahrain(Thousand Dollars),2020 Mar,20071
Bangladesh(Thousand Dollars),2020 Mar,346749
Belgium(Thousand Dollars),2020 Mar,550919
Brazil(Thousand Dollars),2020 Mar,155337
Brunei Darussalam(Thousand Dollars),2020 Mar,92062
Cambodia(Thousand Dollars),2020 Mar,240034
Canada(Thousand Dollars),2020 Mar,92034
Chile(Thousand Dollars),2020 Mar,7821
Colombia(Thousand Dollars),2020 Mar,11027
Cyprus(Thousand Dollars),2020 Mar,47855
Czech Republic(Thousand Dollars),2020 Mar,33432
Democratic People's Republic Of Korea(Thousand Dollars),2020 Mar,0
Denmark(Thousand Dollars),2020 Mar,15795
Ecuador(Thousand Dollars),2020 Mar,3880
Estonia(Thousand Dollars),2020 Mar,1977
Europe(Million Dollars),2020 Mar,4468.2
European Union(Million Dollars),2020 Mar,3529.5
Fiji(Thousand Dollars),2020 Mar,20460
Finland(Thousand Dollars),2020 Mar,19752
France(Thousand Dollars),2020 Mar,371118
French Polynesia(Thousand Dollars),2020 Mar,7951
"Germany, Democratic Republic Of(Thousand Dollars)",2020 Mar,0
"Germany, Federal Republic Of(Thousand Dollars)",2020 Mar,610897
Greece(Thousand Dollars),2020 Mar,122867
Guam(Thousand Dollars),2020 Mar,35762
Hong Kong(Thousand Dollars),2020 Mar,5823657
Hungary(Thousand Dollars),2020 Mar,35870
India(Thousand Dollars),2020 Mar,1056660
Indonesia(Thousand Dollars),2020 Mar,3014122
Iran (Islamic Republic Of)(Thousand Dollars),2020 Mar,3127
Ireland(Thousand Dollars),2020 Mar,65351
Israel(Thousand Dollars),2020 Mar,76531
Italy(Thousand Dollars),2020 Mar,66789
Japan(Thousand Dollars),2020 Mar,2246814
Jordan(Thousand Dollars),2020 Mar,5108
Kuwait(Thousand Dollars),2020 Mar,18219
Laos People's Democratic Republic(Thousand Dollars),2020 Mar,3702
Latvia(Thousand Dollars),2020 Mar,3007
Lebanon(Thousand Dollars),2020 Mar,2544
Lithuania(Thousand Dollars),2020 Mar,875
Luxembourg(Thousand Dollars),2020 Mar,4213
Macau(Thousand Dollars),2020 Mar,10042
Mainland China(Thousand Dollars),2020 Mar,5255263
Malaysia(Thousand Dollars),2020 Mar,3683598
"Maldives, Republic Of(Thousand Dollars)",2020 Mar,22755
Malta(Thousand Dollars),2020 Mar,157276
Mexico(Thousand Dollars),2020 Mar,209119
Myanmar(Thousand Dollars),2020 Mar,449515
Nepal(Thousand Dollars),2020 Mar,13956
Netherlands(Thousand Dollars),2020 Mar,1250263
New Caledonia(Thousand Dollars),2020 Mar,29736
New Zealand(Thousand Dollars),2020 Mar,282059
Oceania(Million Dollars),2020 Mar,1859.3
Oman(Thousand Dollars),2020 Mar,24086
Other Countries In Oceania(Thousand Dollars),2020 Mar,441282
Pakistan(Thousand Dollars),2020 Mar,73769
Papua New Guinea(Thousand Dollars),2020 Mar,69351
Paraguay(Thousand Dollars),2020 Mar,194
Peru(Thousand Dollars),2020 Mar,6874
Philippines(Thousand Dollars),2020 Mar,821266
Poland(Thousand Dollars),2020 Mar,37580
Portugal(Thousand Dollars),2020 Mar,37641
Puerto Rico(Thousand Dollars),2020 Mar,126074
Qatar(Thousand Dollars),2020 Mar,232164
Republic Of Korea(Thousand Dollars),2020 Mar,2203105
Saudi Arabia(Thousand Dollars),2020 Mar,90619
Slovak Republic (Slovakia)(Thousand Dollars),2020 Mar,2584
Slovenia(Thousand Dollars),2020 Mar,4278
Solomon Islands(Thousand Dollars),2020 Mar,2287
Spain(Thousand Dollars),2020 Mar,38771
Sri Lanka(Thousand Dollars),2020 Mar,128041
Sweden(Thousand Dollars),2020 Mar,18976
Switzerland(Thousand Dollars),2020 Mar,390795
Syrian Arab Republic(Thousand Dollars),2020 Mar,757
Taiwan(Thousand Dollars),2020 Mar,2122623
Thailand(Thousand Dollars),2020 Mar,2504510
Total Merchandise Exports(Thousand Dollars),2020 Mar,45800019
United Arab Emirates(Thousand Dollars),2020 Mar,411904
United Kingdom(Thousand Dollars),2020 Mar,397029
United States(Thousand Dollars),2020 Mar,4782306
Uruguay(Thousand Dollars),2020 Mar,1159
Venezuela(Thousand Dollars),2020 Mar,214
"Vietnam, Socialist Republic Of(Thousand Dollars)",2020 Mar,1378299
Yemen Democratic(Thousand Dollars),2020 Mar,0
Yemen(Thousand Dollars),2020 Mar,3334
Afghanistan(Thousand Dollars),2020 Apr,1771
Africa(Million Dollars),2020 Apr,568.8
America(Million Dollars),2020 Apr,6569.1
Argentina(Thousand Dollars),2020 Apr,19985
Asia(Million Dollars),2020 Apr,26245.7
Australia(Thousand Dollars),2020 Apr,926290
Austria(Thousand Dollars),2020 Apr,17305
Bahrain(Thousand Dollars),2020 Apr,9007
Bangladesh(Thousand Dollars),2020 Apr,117469
Belgium(Thousand Dollars),2020 Apr,1176482
Brazil(Thousand Dollars),2020 Apr,118918
Brunei Darussalam(Thousand Dollars),2020 Apr,105793
Cambodia(Thousand Dollars),2020 Apr,76917
Canada(Thousand Dollars),2020 Apr,99261
Chile(Thousand Dollars),2020 Apr,41143
Colombia(Thousand Dollars),2020 Apr,8058
Cyprus(Thousand Dollars),2020 Apr,36201
Czech Republic(Thousand Dollars),2020 Apr,50587
Democratic People's Republic Of Korea(Thousand Dollars),2020 Apr,0
Denmark(Thousand Dollars),2020 Apr,18305
Ecuador(Thousand Dollars),2020 Apr,5059
Estonia(Thousand Dollars),2020 Apr,391
Europe(Million Dollars),2020 Apr,5051.3
European Union(Million Dollars),2020 Apr,4030
Fiji(Thousand Dollars),2020 Apr,9596
Finland(Thousand Dollars),2020 Apr,4317
France(Thousand Dollars),2020 Apr,329421
French Polynesia(Thousand Dollars),2020 Apr,685
"Germany, Democratic Republic Of(Thousand Dollars)",2020 Apr,0
"Germany, Federal Republic Of(Thousand Dollars)",2020 Apr,617032
Greece(Thousand Dollars),2020 Apr,90018
Guam(Thousand Dollars),2020 Apr,21476
Hong Kong(Thousand Dollars),2020 Apr,5387093
Hungary(Thousand Dollars),2020 Apr,42366
India(Thousand Dollars),2020 Apr,463499
Indonesia(Thousand Dollars),2020 Apr,2192562
Iran (Islamic Republic Of)(Thousand Dollars),2020 Apr,915
Ireland(Thousand Dollars),2020 Apr,81404
Israel(Thousand Dollars),2020 Apr,58873
Italy(Thousand Dollars),2020 Apr,85844
Japan(Thousand Dollars),2020 Apr,2314386
Jordan(Thousand Dollars),2020 Apr,4592
Kuwait(Thousand Dollars),2020 Apr,11703
Laos People's Democratic Republic(Thousand Dollars),2020 Apr,1738
Latvia(Thousand Dollars),2020 Apr,2264
Lebanon(Thousand Dollars),2020 Apr,3193
Lithuania(Thousand Dollars),2020 Apr,1142
Luxembourg(Thousand Dollars),2020 Apr,11112
Macau(Thousand Dollars),2020 Apr,8588
Mainland China(Thousand Dollars),2020 Apr,5038157
Malaysia(Thousand Dollars),2020 Apr,2898079
"Maldives, Republic Of(Thousand Dollars)",2020 Apr,12440
Malta(Thousand Dollars),2020 Apr,139734
Mexico(Thousand Dollars),2020 Apr,164619
Myanmar(Thousand Dollars),2020 Apr,247214
Nepal(Thousand Dollars),2020 Apr,1619
Netherlands(Thousand Dollars),2020 Apr,1226948
New Caledonia(Thousand Dollars),2020 Apr,7094
New Zealand(Thousand Dollars),2020 Apr,134685
Oceania(Million Dollars),2020 Apr,1511.8
Oman(Thousand Dollars),2020 Apr,15543
Other Countries In Oceania(Thousand Dollars),2020 Apr,347044
Pakistan(Thousand Dollars),2020 Apr,47275
Papua New Guinea(Thousand Dollars),2020 Apr,65185
Paraguay(Thousand Dollars),2020 Apr,308
Peru(Thousand Dollars),2020 Apr,5264
Philippines(Thousand Dollars),2020 Apr,567314
Poland(Thousand Dollars),2020 Apr,26595
Portugal(Thousand Dollars),2020 Apr,19389
Puerto Rico(Thousand Dollars),2020 Apr,214925
Qatar(Thousand Dollars),2020 Apr,39314
Republic Of Korea(Thousand Dollars),2020 Apr,1646735
Saudi Arabia(Thousand Dollars),2020 Apr,84083
Slovak Republic (Slovakia)(Thousand Dollars),2020 Apr,2413
Slovenia(Thousand Dollars),2020 Apr,4166
Solomon Islands(Thousand Dollars),2020 Apr,2390
Spain(Thousand Dollars),2020 Apr,16215
Sri Lanka(Thousand Dollars),2020 Apr,45174
Sweden(Thousand Dollars),2020 Apr,18116
Switzerland(Thousand Dollars),2020 Apr,434360
Syrian Arab Republic(Thousand Dollars),2020 Apr,42
Taiwan(Thousand Dollars),2020 Apr,2063432
Thailand(Thousand Dollars),2020 Apr,1408737
Total Merchandise Exports(Thousand Dollars),2020 Apr,39946596
United Arab Emirates(Thousand Dollars),2020 Apr,219470
United Kingdom(Thousand Dollars),2020 Apr,440803
United States(Thousand Dollars),2020 Apr,5439082
Uruguay(Thousand Dollars),2020 Apr,394
Venezuela(Thousand Dollars),2020 Apr,179
"Vietnam, Socialist Republic Of(Thousand Dollars)",2020 Apr,1013515
Yemen Democratic(Thousand Dollars),2020 Apr,0
Yemen(Thousand Dollars),2020 Apr,861
Afghanistan(Thousand Dollars),2020 May,3709
Africa(Million Dollars),2020 May,412.8
America(Million Dollars),2020 May,5922.2
Argentina(Thousand Dollars),2020 May,8026
Asia(Million Dollars),2020 May,24437.8
Australia(Thousand Dollars),2020 May,888542
Austria(Thousand Dollars),2020 May,17106
Bahrain(Thousand Dollars),2020 May,7540
Bangladesh(Thousand Dollars),2020 May,120441
Belgium(Thousand Dollars),2020 May,925654
Brazil(Thousand Dollars),2020 May,148795
Brunei Darussalam(Thousand Dollars),2020 May,64689
Cambodia(Thousand Dollars),2020 May,80030
Canada(Thousand Dollars),2020 May,53696
Chile(Thousand Dollars),2020 May,17493
Colombia(Thousand Dollars),2020 May,6001
Cyprus(Thousand Dollars),2020 May,30208
Czech Republic(Thousand Dollars),2020 May,72190
Democratic People's Republic Of Korea(Thousand Dollars),2020 May,108
Denmark(Thousand Dollars),2020 May,9833
Ecuador(Thousand Dollars),2020 May,3799
Estonia(Thousand Dollars),2020 May,1412
Europe(Million Dollars),2020 May,4398
European Union(Million Dollars),2020 May,3853.5
Fiji(Thousand Dollars),2020 May,12803
Finland(Thousand Dollars),2020 May,6800
France(Thousand Dollars),2020 May,275463
French Polynesia(Thousand Dollars),2020 May,3216
"Germany, Democratic Republic Of(Thousand Dollars)",2020 May,0
"Germany, Federal Republic Of(Thousand Dollars)",2020 May,578206
Greece(Thousand Dollars),2020 May,94435
Guam(Thousand Dollars),2020 May,7673
Hong Kong(Thousand Dollars),2020 May,4674102
Hungary(Thousand Dollars),2020 May,44859
India(Thousand Dollars),2020 May,573786
Indonesia(Thousand Dollars),2020 May,1703250
Iran (Islamic Republic Of)(Thousand Dollars),2020 May,5804
Ireland(Thousand Dollars),2020 May,48372
Israel(Thousand Dollars),2020 May,70264
Italy(Thousand Dollars),2020 May,56620
Japan(Thousand Dollars),2020 May,1949916
Jordan(Thousand Dollars),2020 May,3496
Kuwait(Thousand Dollars),2020 May,11364
Laos People's Democratic Republic(Thousand Dollars),2020 May,2353
Latvia(Thousand Dollars),2020 May,4028
Lebanon(Thousand Dollars),2020 May,3210
Lithuania(Thousand Dollars),2020 May,1764
Luxembourg(Thousand Dollars),2020 May,13490
Macau(Thousand Dollars),2020 May,6912
Mainland China(Thousand Dollars),2020 May,5080433
Malaysia(Thousand Dollars),2020 May,2929890
"Maldives, Republic Of(Thousand Dollars)",2020 May,9139
Malta(Thousand Dollars),2020 May,219435
Mexico(Thousand Dollars),2020 May,108984
Myanmar(Thousand Dollars),2020 May,278782
Nepal(Thousand Dollars),2020 May,3273
Netherlands(Thousand Dollars),2020 May,1364868
New Caledonia(Thousand Dollars),2020 May,20441
New Zealand(Thousand Dollars),2020 May,127291
Oceania(Million Dollars),2020 May,1311.4
Oman(Thousand Dollars),2020 May,17031
Other Countries In Oceania(Thousand Dollars),2020 May,214693
Pakistan(Thousand Dollars),2020 May,58553
Papua New Guinea(Thousand Dollars),2020 May,35924
Paraguay(Thousand Dollars),2020 May,955
Peru(Thousand Dollars),2020 May,7726
Philippines(Thousand Dollars),2020 May,692502
Poland(Thousand Dollars),2020 May,28652
Portugal(Thousand Dollars),2020 May,14869
Puerto Rico(Thousand Dollars),2020 May,213163
Qatar(Thousand Dollars),2020 May,25870
Republic Of Korea(Thousand Dollars),2020 May,1483638
Saudi Arabia(Thousand Dollars),2020 May,76943
Slovak Republic (Slovakia)(Thousand Dollars),2020 May,1933
Slovenia(Thousand Dollars),2020 May,2033
Solomon Islands(Thousand Dollars),2020 May,2043
Spain(Thousand Dollars),2020 May,19345
Sri Lanka(Thousand Dollars),2020 May,40574
Sweden(Thousand Dollars),2020 May,12139
Switzerland(Thousand Dollars),2020 May,137199
Syrian Arab Republic(Thousand Dollars),2020 May,1977
Taiwan(Thousand Dollars),2020 May,1723954
Thailand(Thousand Dollars),2020 May,1215694
Total Merchandise Exports(Thousand Dollars),2020 May,36482259
United Arab Emirates(Thousand Dollars),2020 May,190829
United Kingdom(Thousand Dollars),2020 May,296497
United States(Thousand Dollars),2020 May,4933943
Uruguay(Thousand Dollars),2020 May,933
Venezuela(Thousand Dollars),2020 May,417
"Vietnam, Socialist Republic Of(Thousand Dollars)",2020 May,1221984
Yemen Democratic(Thousand Dollars),2020 May,0
Yemen(Thousand Dollars),2020 May,640
Afghanistan(Thousand Dollars),2020 Jun,1752
Africa(Million Dollars),2020 Jun,452.1
America(Million Dollars),2020 Jun,4895.5
Argentina(Thousand Dollars),2020 Jun,17948
Asia(Million Dollars),2020 Jun,28994.5
Australia(Thousand Dollars),2020 Jun,859951
Austria(Thousand Dollars),2020 Jun,18522
Bahrain(Thousand Dollars),2020 Jun,6077
Bangladesh(Thousand Dollars),2020 Jun,206126
Belgium(Thousand Dollars),2020 Jun,386915
Brazil(Thousand Dollars),2020 Jun,155885
Brunei Darussalam(Thousand Dollars),2020 Jun,114980
Cambodia(Thousand Dollars),2020 Jun,92601
Canada(Thousand Dollars),2020 Jun,93620
Chile(Thousand Dollars),2020 Jun,45535
Colombia(Thousand Dollars),2020 Jun,9394
Cyprus(Thousand Dollars),2020 Jun,34166
Czech Republic(Thousand Dollars),2020 Jun,51982
Democratic People's Republic Of Korea(Thousand Dollars),2020 Jun,0
Denmark(Thousand Dollars),2020 Jun,13574
Ecuador(Thousand Dollars),2020 Jun,4438
Estonia(Thousand Dollars),2020 Jun,415
Europe(Million Dollars),2020 Jun,4880.4
European Union(Million Dollars),2020 Jun,3424.1
Fiji(Thousand Dollars),2020 Jun,6491
Finland(Thousand Dollars),2020 Jun,5215
France(Thousand Dollars),2020 Jun,327298
French Polynesia(Thousand Dollars),2020 Jun,1332
"Germany, Democratic Republic Of(Thousand Dollars)",2020 Jun,0
"Germany, Federal Republic Of(Thousand Dollars)",2020 Jun,616840
Greece(Thousand Dollars),2020 Jun,83698
Guam(Thousand Dollars),2020 Jun,11922
Hong Kong(Thousand Dollars),2020 Jun,4886363
Hungary(Thousand Dollars),2020 Jun,39403
India(Thousand Dollars),2020 Jun,800876
Indonesia(Thousand Dollars),2020 Jun,2196981
Iran (Islamic Republic Of)(Thousand Dollars),2020 Jun,4725
Ireland(Thousand Dollars),2020 Jun,52091
Israel(Thousand Dollars),2020 Jun,67597
Italy(Thousand Dollars),2020 Jun,87036
Japan(Thousand Dollars),2020 Jun,2220049
Jordan(Thousand Dollars),2020 Jun,4129
Kuwait(Thousand Dollars),2020 Jun,14177
Laos People's Democratic Republic(Thousand Dollars),2020 Jun,1511
Latvia(Thousand Dollars),2020 Jun,5572
Lebanon(Thousand Dollars),2020 Jun,1305
Lithuania(Thousand Dollars),2020 Jun,1552
Luxembourg(Thousand Dollars),2020 Jun,12259
Macau(Thousand Dollars),2020 Jun,10509
Mainland China(Thousand Dollars),2020 Jun,5603145
Malaysia(Thousand Dollars),2020 Jun,3672727
"Maldives, Republic Of(Thousand Dollars)",2020 Jun,13345
Malta(Thousand Dollars),2020 Jun,85631
Mexico(Thousand Dollars),2020 Jun,125643
Myanmar(Thousand Dollars),2020 Jun,356460
Nepal(Thousand Dollars),2020 Jun,7341
Netherlands(Thousand Dollars),2020 Jun,1486744
New Caledonia(Thousand Dollars),2020 Jun,14685
New Zealand(Thousand Dollars),2020 Jun,218918
Oceania(Million Dollars),2020 Jun,1418.3
Oman(Thousand Dollars),2020 Jun,29861
Other Countries In Oceania(Thousand Dollars),2020 Jun,258498
Pakistan(Thousand Dollars),2020 Jun,72764
Papua New Guinea(Thousand Dollars),2020 Jun,46108
Paraguay(Thousand Dollars),2020 Jun,233
Peru(Thousand Dollars),2020 Jun,7489
Philippines(Thousand Dollars),2020 Jun,896456
Poland(Thousand Dollars),2020 Jun,27678
Portugal(Thousand Dollars),2020 Jun,19641
Puerto Rico(Thousand Dollars),2020 Jun,101227
Qatar(Thousand Dollars),2020 Jun,33201
Republic Of Korea(Thousand Dollars),2020 Jun,2112428
Saudi Arabia(Thousand Dollars),2020 Jun,128019
Slovak Republic (Slovakia)(Thousand Dollars),2020 Jun,1659
Slovenia(Thousand Dollars),2020 Jun,3321
Solomon Islands(Thousand Dollars),2020 Jun,3516
Spain(Thousand Dollars),2020 Jun,37339
Sri Lanka(Thousand Dollars),2020 Jun,115818
Sweden(Thousand Dollars),2020 Jun,14999
Switzerland(Thousand Dollars),2020 Jun,302811
Syrian Arab Republic(Thousand Dollars),2020 Jun,1525
Taiwan(Thousand Dollars),2020 Jun,2016863
Thailand(Thousand Dollars),2020 Jun,1309206
Total Merchandise Exports(Thousand Dollars),2020 Jun,40640766
United Arab Emirates(Thousand Dollars),2020 Jun,261461
United Kingdom(Thousand Dollars),2020 Jun,1006811
United States(Thousand Dollars),2020 Jun,4015195
Uruguay(Thousand Dollars),2020 Jun,663
Venezuela(Thousand Dollars),2020 Jun,149
"Vietnam, Socialist Republic Of(Thousand Dollars)",2020 Jun,1563752
