Country,Variables,Import
Netherlands(Thousand Dollars),2019 Apr,781693
New Caledonia(Thousand Dollars),2019 Apr,33118
New Zealand(Thousand Dollars),2019 Apr,256258
Oceania(Million Dollars),2019 Apr,2235.3
Oman(Thousand Dollars),2019 Apr,13589
Other Countries In Oceania(Thousand Dollars),2019 Apr,406256
Pakistan(Thousand Dollars),2019 Apr,89283
Papua New Guinea(Thousand Dollars),2019 Apr,69561
Paraguay(Thousand Dollars),2019 Apr,514
Peru(Thousand Dollars),2019 Apr,7916
Philippines(Thousand Dollars),2019 Apr,949427
Poland(Thousand Dollars),2019 Apr,32266
Portugal(Thousand Dollars),2019 Apr,33753
Puerto Rico(Thousand Dollars),2019 Apr,98381
Qatar(Thousand Dollars),2019 Apr,100797
Republic Of Korea(Thousand Dollars),2019 Apr,1681787
Saudi Arabia(Thousand Dollars),2019 Apr,80613
Slovak Republic (Slovakia)(Thousand Dollars),2019 Apr,3957
Slovenia(Thousand Dollars),2019 Apr,4717
Solomon Islands(Thousand Dollars),2019 Apr,3732
Spain(Thousand Dollars),2019 Apr,57638
Sri Lanka(Thousand Dollars),2019 Apr,235671
Sweden(Thousand Dollars),2019 Apr,20579
Switzerland(Thousand Dollars),2019 Apr,187224
Syrian Arab Republic(Thousand Dollars),2019 Apr,908
Taiwan(Thousand Dollars),2019 Apr,1740748
Thailand(Thousand Dollars),2019 Apr,1627916
Total Merchandise Exports(Thousand Dollars),2019 Apr,44138798
United Arab Emirates(Thousand Dollars),2019 Apr,418180
United Kingdom(Thousand Dollars),2019 Apr,664393
United States(Thousand Dollars),2019 Apr,3749563
Uruguay(Thousand Dollars),2019 Apr,1185
Venezuela(Thousand Dollars),2019 Apr,717
"Vietnam, Socialist Republic Of(Thousand Dollars)",2019 Apr,1441410
Yemen Democratic(Thousand Dollars),2019 Apr,0
Yemen(Thousand Dollars),2019 Apr,2369
Afghanistan(Thousand Dollars),2019 May,3509
Africa(Million Dollars),2019 May,761.3
America(Million Dollars),2019 May,5809.4
Argentina(Thousand Dollars),2019 May,17043
Asia(Million Dollars),2019 May,32511.7
Australia(Thousand Dollars),2019 May,1158996
Austria(Thousand Dollars),2019 May,19127
Bahrain(Thousand Dollars),2019 May,16839
Bangladesh(Thousand Dollars),2019 May,379822
Belgium(Thousand Dollars),2019 May,1380735
Brazil(Thousand Dollars),2019 May,150611
Brunei Darussalam(Thousand Dollars),2019 May,97557
Cambodia(Thousand Dollars),2019 May,304347
Canada(Thousand Dollars),2019 May,104150
Chile(Thousand Dollars),2019 May,9247
Colombia(Thousand Dollars),2019 May,11289
Cyprus(Thousand Dollars),2019 May,56539
Czech Republic(Thousand Dollars),2019 May,59093
Democratic People's Republic Of Korea(Thousand Dollars),2019 May,0
Denmark(Thousand Dollars),2019 May,27991
Ecuador(Thousand Dollars),2019 May,12836
Estonia(Thousand Dollars),2019 May,3254
Europe(Million Dollars),2019 May,5479.5
European Union(Million Dollars),2019 May,4550.2
Fiji(Thousand Dollars),2019 May,53960
Finland(Thousand Dollars),2019 May,12583
France(Thousand Dollars),2019 May,577736
French Polynesia(Thousand Dollars),2019 May,25664
"Germany, Democratic Republic Of(Thousand Dollars)",2019 May,0
"Germany, Federal Republic Of(Thousand Dollars)",2019 May,681759
Greece(Thousand Dollars),2019 May,99698
Guam(Thousand Dollars),2019 May,55170
Hong Kong(Thousand Dollars),2019 May,5383109
Hungary(Thousand Dollars),2019 May,35674
India(Thousand Dollars),2019 May,1471410
Indonesia(Thousand Dollars),2019 May,3046660
Iran (Islamic Republic Of)(Thousand Dollars),2019 May,4987
Ireland(Thousand Dollars),2019 May,46114
Israel(Thousand Dollars),2019 May,91737
Italy(Thousand Dollars),2019 May,111059
Japan(Thousand Dollars),2019 May,1863141
Jordan(Thousand Dollars),2019 May,2900
Kuwait(Thousand Dollars),2019 May,23266
Laos People's Democratic Republic(Thousand Dollars),2019 May,5024
Latvia(Thousand Dollars),2019 May,4403
Lebanon(Thousand Dollars),2019 May,4327
Lithuania(Thousand Dollars),2019 May,1647
Luxembourg(Thousand Dollars),2019 May,13103
Macau(Thousand Dollars),2019 May,21730
Mainland China(Thousand Dollars),2019 May,5568856
Malaysia(Thousand Dollars),2019 May,5062375
"Maldives, Republic Of(Thousand Dollars)",2019 May,42321
Malta(Thousand Dollars),2019 May,142572
Mexico(Thousand Dollars),2019 May,180107
Myanmar(Thousand Dollars),2019 May,416575
Nepal(Thousand Dollars),2019 May,14556
Netherlands(Thousand Dollars),2019 May,1110456
New Caledonia(Thousand Dollars),2019 May,30799
New Zealand(Thousand Dollars),2019 May,273544
Oceania(Million Dollars),2019 May,2069.6
Oman(Thousand Dollars),2019 May,17705
Other Countries In Oceania(Thousand Dollars),2019 May,374320
Pakistan(Thousand Dollars),2019 May,84277
Papua New Guinea(Thousand Dollars),2019 May,93217
Paraguay(Thousand Dollars),2019 May,145
Peru(Thousand Dollars),2019 May,5745
Philippines(Thousand Dollars),2019 May,1087729
Poland(Thousand Dollars),2019 May,36190
Portugal(Thousand Dollars),2019 May,37715
Puerto Rico(Thousand Dollars),2019 May,170032
Qatar(Thousand Dollars),2019 May,148215
Republic Of Korea(Thousand Dollars),2019 May,1789220
Saudi Arabia(Thousand Dollars),2019 May,86145
