Date,Country,Export,Category
2019 Dec,Venezuela(Thousand Dollars),238,Export
2019 Dec,Uruguay(Thousand Dollars),1277,Export
2019 Dec,United States(Thousand Dollars),3812343,Export
2019 Dec,United Kingdom(Thousand Dollars),371352,Export
2019 Dec,United Arab Emirates(Thousand Dollars),440782,Export
2019 Dec,Total Merchandise Exports(Thousand Dollars),45063716,Export
2019 Dec,Thailand(Thousand Dollars),1630882,Export
2019 Dec,Taiwan(Thousand Dollars),2167073,Export
2019 Dec,Syrian Arab Republic(Thousand Dollars),1406,Export
2019 Dec,Switzerland(Thousand Dollars),217621,Export
2019 Dec,Sweden(Thousand Dollars),24089,Export
2019 Dec,Sri Lanka(Thousand Dollars),100984,Export
2019 Dec,Spain(Thousand Dollars),37653,Export
2019 Dec,Solomon Islands(Thousand Dollars),4453,Export
2019 Dec,Slovenia(Thousand Dollars),2129,Export
2019 Dec,Slovak Republic (Slovakia)(Thousand Dollars),1399,Export
2019 Dec,Saudi Arabia(Thousand Dollars),79858,Export
2019 Dec,Republic Of Korea(Thousand Dollars),2088550,Export
2019 Dec,Qatar(Thousand Dollars),84447,Export
2019 Dec,Puerto Rico(Thousand Dollars),20744,Export
2019 Dec,Portugal(Thousand Dollars),155369,Export
2019 Dec,Poland(Thousand Dollars),54336,Export
2019 Dec,Philippines(Thousand Dollars),900240,Export
2019 Dec,Peru(Thousand Dollars),5727,Export
2019 Dec,Paraguay(Thousand Dollars),298,Export
2019 Dec,Papua New Guinea(Thousand Dollars),50273,Export
2019 Dec,Pakistan(Thousand Dollars),98297,Export
2019 Dec,Other Countries In Oceania(Thousand Dollars),199764,Export
2019 Dec,Oman(Thousand Dollars),10816,Export
2019 Dec,Oceania(Million Dollars),1918.4,Export
2019 Dec,New Zealand(Thousand Dollars),280937,Export
2019 Dec,New Caledonia(Thousand Dollars),13767,Export
2019 Dec,Netherlands(Thousand Dollars),924561,Export
2019 Dec,Nepal(Thousand Dollars),19035,Export
2019 Dec,Myanmar(Thousand Dollars),459098,Export
2019 Dec,Mexico(Thousand Dollars),132499,Export
2019 Dec,Malta(Thousand Dollars),91561,Export
2019 Dec,"Maldives, Republic Of(Thousand Dollars)",36961,Export
2019 Dec,Malaysia(Thousand Dollars),5101862,Export
2019 Dec,Mainland China(Thousand Dollars),7002394,Export
2019 Dec,Macau(Thousand Dollars),25424,Export
2019 Dec,Luxembourg(Thousand Dollars),12166,Export
2019 Dec,Lithuania(Thousand Dollars),1809,Export
2019 Dec,Lebanon(Thousand Dollars),2327,Export
2019 Dec,Latvia(Thousand Dollars),4258,Export
2019 Dec,Laos People's Democratic Republic(Thousand Dollars),7954,Export
